state,bea,industry,census_share,share_ratio_before,factor,share_ratio_after,output_unadjusted,output_adjusted
AR,5415,Computer systems design and related services,0.002012401597382293,1.2799661066894732,0.7817008714996815,1.000550621089216,1941.6077250937783,1517.7564508163205
AR,561,Administrative and support services,0.004661858858764827,1.242301694424837,0.8049804210085479,1.0000285409977374,7715.703109144469,6210.989937176077
AR,562,Waste management and remediation services,0.008114629638587624,1.0896231857998808,0.9175731586898229,0.9998089883760646,1504.498653571994,1380.4875818026403
AR,621,Ambulatory health care services,0.007612752487627484,0.9741574591987457,1.0265280941568833,1.0000000000000004,10987.491171508473,11278.968371854173
AR,622,Hospitals,0.009164419157580653,0.7893358858166913,1.2670168589472448,1.0001018747018051,8276.827239784847,10486.87965140119
AR,623,Nursing and residential care facilities,0.007738328740347859,0.9765459276344356,1.0240173776796946,0.9999999999999998,2403.1269970026515,2460.8438057019343
AR,624,Social assistance,0.007070634701655873,1.1122384730902064,0.8990877623767441,1.0000000000000007,2564.1316994338754,2305.3794320832812
AR,711AS,"Performing arts, spectator sports, museums, and related activities",0.003278509183360638,0.8009983648325112,1.2484724383454908,1.0000243816531962,753.6842195930952,940.95397537791
AR,713,"Amusements, gambling, and recreation industries",0.00597392167869356,0.8398025984790558,1.1974422146596004,1.0056150833996478,1181.3949937733498,1414.6522377317249
AR,721,Accommodation,0.0037980037626669993,1.1153539114100999,0.8967860442491893,1.0002338221513238,1410.3010868989784,1264.738332920467
AR,722,Food services and drinking places,0.0069849535708024,0.9952137948554575,1.0048092230727548,1.0000000000000007,8778.665782331715,8820.884344360107
AR,81,"Other services, except government",0.0048325195725599955,1.4519217735194654,0.68995157978255,1.0017557213604367,7193.995721848013,4963.508713237942
AR,ORE,Other real estate,0.0036416430968764686,1.3778747758981598,0.725635010207879,0.9998341770740407,10175.931085552464,7384.011857139535
AZ,211,Oil and gas extraction,1.9654088974725403e-5,6.884087611181837,0.5172142205530575,3.560548008036374,43.213346509691625,23.663999999999998
AZ,212,"Mining, except oil and gas",0.09688622764614134,0.9273853001326828,1.0778747385927911,0.999605187955313,10206.584668935086,11001.419781953595
AZ,213,Support activities for mining,0.003897959086243421,0.7847483542960627,1.2740687266445618,0.99982333649440025,265.18696928194095,337.86642427577306
AZ,22,Utilities,0.014235641521806881,1.6067306434610713,0.6242620136402468,1.0030209068644982,14486.79276172133,10304.856
AZ,23,Construction,0.028001599235133522,0.9082769025973997,1.1009858305768867,1.0000000000000004,63521.04192038776,69935.76709782735
AZ,311FT,Food and beverage and tobacco products,0.011282750600877665,0.8426846303306571,1.1866835634674082,1,10452.119195348461,12403.358052522211
AZ,313TT,Textile mills and textile product mills,0.007660920981339954,1.0855391000381878,0.9212012722202464,1,377.1546978878626,347.4353875181417
