state,bea,industry,output_type1,output_type2,direct_jobs,jobs_type1,jobs_type2,labor_type2,va_type2,jobs_multiplier,direct_jobs_se,jobs_type2_se,labor_type2_se,output_type2_se
AL,512,Motion picture and sound recording industries,1.3510600994714768,1.631164970702638,4.259731687046113,5.580459980971954,6.756150459655808,0.3845324442707801,0.9368766386777376,1.5860507083583057,9.462519603879981,15.758947722830515,0.6089828873246088,1.7946613502307542
AL,513,Broadcasting and telecommunications,1.3644193515945207,1.5707098040291636,1.5557757469526774,2.853060561650466,3.718928119414714,0.2831988303372062,0.849044077770611,2.3904011402022673,1.7959535207021702,5.581566643179223,0.3214856030955109,1.5985990282366531
AL,514,"Data processing, internet publishing, and other information services",1.4614922067179432,1.853193183548029,2.268409778289411,4.201967608684967,5.84606293243335,0.5377333617287282,1.0996655712493673,2.5771635215052804,3.186421076988797,8.842417908606764,0.6072904574195812,1.903860641189081
AL,521CI,"Federal Reserve banks, credit intermediation, and related activities",1.217772935655865,1.526910032092626,2.709350380801966,3.531511493112348,4.829059583908418,0.42438834706840056,0.9764142799108106,1.7823680606710672,2.764483186903643,5.914125261781496,0.4482191748792234,1.544269115974199
AL,523,"Securities, commodity contracts, and investments",1.560943710095967,2.0814074328173775,2.0379619991619164,3.9891162802058875,6.1736703745862425,0.7145009173623721,1.0750902611238262,3.029335373831837,3.977454242650509,10.458421097897093,0.8064135948909603,2.1483593612885366
AL,524,Insurance carriers and related activities,1.347468971812612,1.7114689580062625,2.296492392185578,3.276381380145178,4.804206712592731,0.49970499902539117,0.9285639668481462,2.0919758885073225,3.0288423141359413,6.719104102380043,0.5387705585675306,1.7399254736739465
AL,525,"Funds, trusts, and other financial vehicles",2.30517171231947,2.7739041504713824,0.40111664046402506,3.928554955291346,5.895976164937783,0.643483383060513,1.0454962447725364,14.698906926716182,0.40111664046402506,9.265762668386564,0.7166907539733717,2.827230577170188
AL,HS,Housing,1.0885201827284028,1.1179347165242552,0,0.28354902672461846,0.40701131128506435,0.04038074214093312,0.9719215188430677,NA,0,0.6244905874101312,0.04633215810162692,1.1222699049489264
AL,ORE,Other real estate,1.4891341185794467,1.6683936711129963,0.9229931211541874,2.9763961895028204,3.728806342887454,0.24609037890571134,0.7833437014676417,4.0399069694307626,4.087920476508426,8.558855749249236,0.27510342774412383,1.6895276389484493
AL,532RL,Rental and leasing services and lessors of intangible assets,1.4319205630387757,1.65079704486488,1.5013204456901337,3.3110144891607463,4.229709671289168,0.30047713265408454,0.9027935861273065,2.817326363223433,1.9124356437078465,6.237182617859462,0.32795785473080663,1.6708148203044448
